Model,Fold,R2,RMSE,MAE
MLR,Kazhydromet-14,0.9697,1.2738,0.6667
SVR,Kazhydromet-14,0.7569,3.6082,0.9411
RF,Kazhydromet-14,0.9842,0.9204,0.5836
XGBoost,Kazhydromet-14,0.9695,1.278,0.714
ANN,Kazhydromet-14,0.897,2.3481,1.4701
MLR,Kazhydromet-9,0.9698,1.9558,0.9463
SVR,Kazhydromet-9,0.5581,7.4782,1.8297
RF,Kazhydromet-9,0.888,3.7654,0.8944
XGBoost,Kazhydromet-9,0.9069,3.4322,0.945
ANN,Kazhydromet-9,0.9652,2.0994,1.3714
MLR,US Embassy,0.886,4.3966,2.8515
SVR,US Embassy,0.5065,9.148,4.5665
RF,US Embassy,0.7926,5.9303,3.5772
XGBoost,US Embassy,0.8303,5.3641,3.4037
ANN,US Embassy,0.7966,5.8734,4.1319
MLR,Mean,0.9418,2.5421,1.4882
SVR,Mean,0.6072,6.7448,2.4458
RF,Mean,0.8883,3.5387,1.6851
XGBoost,Mean,0.9022,3.3581,1.6876
ANN,Mean,0.8863,3.4403,2.3245
